# t (s)	mx	my	mz	skyrmionx (m)	skyrmiony (m)	skyrmionz (m)	Q
1.1999999999999998e-9	8.119252214705338e-5	-3.3976663888285086e-5	0.9926755074057739	8.668879645533006e-8	2.504501562210836e-8	0.0	-0.9373526112675379
1.2199999999999997e-9	8.118894174736945e-5	-3.4007044045987894e-5	0.9926758301996941	8.313452628041143e-8	2.5462191338464153e-8	0.0	-0.9373505874188002
1.2399999999999996e-9	8.118610541885553e-5	-3.403484707463055e-5	0.9926760937591533	7.958029866834883e-8	2.5879353263832327e-8	0.0	-0.9373492835252224
1.2599999999999996e-9	8.118048689020584e-5	-3.405261669043397e-5	0.9926763571459288	7.602605532809614e-8	2.6296516076151893e-8	0.0	-0.9373475786873618
1.2799999999999995e-9	8.117309273710102e-5	-3.406894533931633e-5	0.9926766890592608	7.247181098168301e-8	2.6713671249976318e-8	0.0	-0.9373449090769892
1.2999999999999994e-9	8.116653479153234e-5	-3.409648885445334e-5	0.9926770664212632	6.89176319947116e-8	2.7130800088005065e-8	0.0	-0.9373421333701188
1.3199999999999994e-9	8.116120824735715e-5	-3.413151503608173e-5	0.9926774087726207	6.536353806781881e-8	2.7547899994035774e-8	0.0	-0.937340193956709
1.3399999999999993e-9	8.115612662421287e-5	-3.415818267967518e-5	0.9926776974729699	6.180947364968219e-8	2.796498691415469e-8	0.0	-0.9373386671508958
1.3599999999999992e-9	8.115082396139181e-5	-3.4173262717551625e-5	0.992678003287798	5.825539158027394e-8	2.8382072080303513e-8	0.0	-0.9373364359367845
1.3799999999999992e-9	8.114476435257042e-5	-3.419269732569467e-5	0.9926783818454897	5.470132397881091e-8	2.879914637486094e-8	0.0	-0.9373334146529582
1.399999999999999e-9	8.11372384748222e-5	-3.4227313993747645e-5	0.9926787914414957	5.114733492939653e-8	2.921619314300309e-8	0.0	-0.9373306512592674
1.419999999999999e-9	8.112943060975463e-5	-3.4264810223927524e-5	0.9926791548831951	4.7593425837284235e-8	2.9633211078209794e-8	0.0	-0.937328696566418
1.439999999999999e-9	8.11238583810665e-5	-3.4288010654394706e-5	0.992679473926674	4.403953440262783e-8	3.0050215606420295e-8	0.0	-0.9373267832242231
1.4599999999999989e-9	8.112006044994859e-5	-3.430231495315766e-5	0.99267982687766	4.048562828601368e-8	3.0467217035014824e-8	0.0	-0.9373240376652413
1.4799999999999988e-9	8.111384299514342e-5	-3.4328431854380477e-5	0.9926802528799484	3.6931753762322506e-8	3.088420552304603e-8	0.0	-0.9373208038010465
1.4999999999999987e-9	8.110360946698363e-5	-3.4369911797457506e-5	0.9926806939388935	3.337796749535494e-8	3.130116402468897e-8	0.0	-0.937318065436445
1.5199999999999987e-9	8.109420602879992e-5	-3.440662269977125e-5	0.9926810809297496	2.982425333021791e-8	3.1718092123395465e-8	0.0	-0.9373159360795414
1.5399999999999986e-9	8.109009635586613e-5	-3.442592921352511e-5	0.992681436266983	2.627054759172404e-8	3.2135007067650465e-8	0.0	-0.9373135368483094
1.5599999999999985e-9	8.108740818617292e-5	-3.4443213325506005e-5	0.9926818410183127	2.2716834606019775e-8	3.255191913232871e-8	0.0	-0.9373103668612938
1.5799999999999985e-9	8.107881027547116e-5	-3.4478369494525435e-5	0.9926823149255879	1.9163170517720317e-8	3.296881549372669e-8	0.0	-0.9373070188964628
1.5999999999999984e-9	8.106547261318685e-5	-3.452430269339022e-5	0.9926827870845684	1.560960074614616e-8	3.338567726707882e-8	0.0	-0.9373042227718955
1.6199999999999983e-9	8.105652600032945e-5	-3.455753841350404e-5	0.9926832012816754	1.2056093894193965e-8	3.380250696653604e-8	0.0	-0.9373017619340356
1.6399999999999983e-9	8.105484443004431e-5	-3.457506359968212e-5	0.9926835996938415	8.502589701902651e-9	3.421932577031548e-8	0.0	-0.9372988686907889
1.6599999999999982e-9	8.105134549785275e-5	-3.4599491885212674e-5	0.99268406065278	4.949089273045075e-9	3.463614223790677e-8	0.0	-0.9372953882624547
1.6799999999999981e-9	8.103862795807228e-5	-3.4643720724154524e-5	0.9926845825102342	1.3956541381119225e-9	3.505293776442494e-8	0.0	-0.9372919382127866
1.699999999999998e-9	8.102347737102227e-5	-3.4690587708894756e-5	0.9926850861421574	-2.1576838090453523e-9	3.546969262274492e-8	0.0	-0.9372889433123057
1.719999999999998e-9	8.101709742446201e-5	-3.471974439132294e-5	0.992685532728973	-5.710968040201522e-9	3.588641563256876e-8	0.0	-0.9372860548007227
1.739999999999998e-9	8.101709473825149e-5	-3.473958307083056e-5	0.9926859816913399	-9.264251678577751e-9	3.630313191313686e-8	0.0	-0.9372827322168832
1.7599999999999979e-9	8.101021527807157e-5	-3.477402568944536e-5	0.9926865026881352	-1.2817517946436e-8	3.671984457303526e-8	0.0	-0.9372790143959306
