# t (s)	mx	my	mz	B_extx (T)	B_exty (T)	B_extz (T)
0.0	-0.7627496106349244	-7.322753514671376e-16	-2.2243491770712607e-18	-0.015	0.0	0.0
0.0	-0.7607024190547882	-1.914481420617342e-15	3.138114768042044e-18	-0.01	0.0	0.0
0.0	-0.7583389292966887	-5.612473333305168e-15	-5.510349121440328e-19	-0.005	0.0	0.0
0.0	-0.7555682086685538	-5.225160235045045e-15	-1.2049129055613506e-17	0.0	0.0	0.0
0.0	-0.7522505900301591	1.9418952681982127e-12	7.142723912334503e-19	0.005	0.0	0.0
0.0	-0.7481516395870149	2.452079921992645e-10	1.4386061786275662e-18	0.01	0.0	0.0
0.0	0.26713799902375696	-2.2833083434037338e-9	0.0009648554778793246	0.015	0.0	0.0
0.0	0.33978960433762734	2.8291789434115034e-11	0.0009691265190861916	0.02	0.0	0.0
0.0	0.40319956676820723	-2.019183212992326e-12	0.000975539845952766	0.025	0.0	0.0
0.0	0.45854889714204955	1.3157146629139137e-12	0.0009829314923487998	0.03	0.0	0.0
0.0	0.5063287574950222	-1.2108625919993177e-11	0.0009922315993328562	0.035	0.0	0.0
0.0	0.5475682017479186	-5.409248451937465e-13	0.0010041832021711712	0.04	0.0	0.0
0.0	0.5835714578919169	1.8302914309153983e-12	0.0010187640956507557	0.045	0.0	0.0
0.0	0.6149557514556068	1.1031484767332067e-12	0.0010392700238014345	0.05	0.0	0.0
0.0	0.6437608769704684	-2.710010868489654e-13	0.0010703245840489063	0.055	0.0	0.0
0.0	0.7735927289434076	-3.658193192812575e-14	-1.4746877330384932e-14	0.06	0.0	0.0
0.0	0.7743176214130166	-1.1624517320951711e-14	-2.00152394658204e-18	0.065	0.0	0.0
0.0	0.7749849782012264	-6.40010267005664e-15	-6.873841773558098e-19	0.07	0.0	0.0
0.0	0.7756008557626506	-3.554124355931165e-15	-4.787836793695988e-19	0.075	0.0	0.0
0.0	0.7761701235029954	-1.580456945871056e-15	-6.854759815322353e-19	0.08	0.0	0.0
0.0	0.7766974169986851	-6.215392783781582e-16	-3.8380756905986857e-19	0.085	0.0	0.0
0.0	0.777186592226842	-2.0477890216863414e-16	-2.1196586152960606e-18	0.09	0.0	0.0
0.0	0.7776410980670626	-5.943058545287982e-17	-4.51461784622964e-19	0.095	0.0	0.0
0.0	0.7780639751805745	-8.795048023202412e-18	-9.294648384283733e-19	0.1	0.0	0.0
0.0	0.7784579666984317	7.9582174183912e-18	-7.452372052796363e-19	0.105	0.0	0.0
0.0	0.7788254653959195	1.4343734533461826e-17	-2.945820670730015e-18	0.11	0.0	0.0
0.0	0.7791686567768199	1.841912039557414e-17	-7.266756640866845e-19	0.115	0.0	0.0
0.0	0.779489491372947	1.5713125245397918e-17	-9.982466242508537e-19	0.12	0.0	0.0
0.0	0.7797897214480797	1.8683665725660604e-17	-5.401928904191777e-19	0.125	0.0	0.0
0.0	0.7800710040924795	1.7601892166041467e-17	-5.08534186982601e-19	0.13	0.0	0.0
0.0	0.780334663722441	1.6400596158927527e-17	-7.698702786385069e-19	0.135	0.0	0.0
0.0	0.7805822590592069	1.45102679871556e-17	-7.912941135668206e-19	0.14	0.0	0.0
0.0	0.7808147658049026	1.6107601363835043e-17	-8.349224089876373e-19	0.145	0.0	0.0
0.0	0.781033337852032	1.3483138217029733e-17	-5.185955831432665e-19	0.15	0.0	0.0
